x,y,leftInches,rightInches,gyro
-68.47812606889926,-11.02171624889325,4.817073170731708,-23.04878048780488,53.38999938964844
-70.5308391731227,-7.655067593066555,5.670731707317073,-22.296747967479675,53.4900016784668
-72.65805410310047,-4.842486189134812,6.544715447154471,-21.483739837398375,53.59000015258789
-74.70825294248728,-2.585996175463872,7.479674796747966,-20.630081300813007,53.68000030517578
-76.73386829581625,-1.0356641327054246,8.516260162601625,-19.715447154471544,53.86000061035156
-78.49986020822249,0.03076688245554715,9.512195121951219,-18.739837398373982,53.970001220703125
-79.85266594893967,0.6401932791316229,10.630081300813007,-17.723577235772357,54.09000015258789
-80.74199192481592,0.8050207156575454,11.86991869918699,-16.646341463414632,54.33000183105469
-81.10686415695506,0.8318004407945021,12.98780487804878,-15.528455284552845,54.439998626708984
-80.77186455052055,0.8474695023123381,14.308943089430892,-14.36991869918699,54.560001373291016
-79.9591733919902,1.168998129881877,15.589430894308942,-13.170731707317072,54.88999938964844
-78.54894422865448,1.9152988457465758,16.869918699186993,-11.930894308943088,55.0
-76.68710035857222,3.153125747618527,18.333333333333332,-10.670731707317072,55.099998474121094
-74.71964040929338,5.333727176571621,19.674796747967477,-9.329268292682926,55.349998474121094
-72.65895323129088,8.319745647381051,21.13821138211382,-8.008130081300813,55.47999954223633
-70.64088772017574,12.252973383086958,22.703252032520325,-6.605691056910569,55.61000061035156
-69.56147487092304,17.218301756230588,24.186991869918696,-5.182926829268292,55.869998931884766
-69.17960193904136,23.171513731012677,25.8130081300813,-3.719512195121951,56.02000045776367
-69.55064281270444,29.79731168716266,27.398373983739837,-2.195121951219512,56.13999938964844
-71.52977864760307,37.063071656115476,28.98373983739837,-0.6504065040650406,56.349998474121094
-74.47532576015205,44.74973267125789,30.630081300813007,0.8943089430894308,56.45000076293945
-78.56161516786247,52.87567118673564,32.19512195121951,2.4593495934959346,56.54999923706055
-84.59870318116812,60.71986495292849,33.90243902439024,4.085365853658536,56.7400016784668
-92.06626153713526,68.48383707581377,35.630081300813,5.711382113821139,56.849998474121094
-100.91412911561768,76.01001110583574,37.39837398373984,7.378048780487804,56.95000076293945
-111.3958452571161,82.95026633592082,39.288617886178855,9.085365853658535,57.06999969482422
-123.95374341031359,87.46115069934618,41.036585365853654,10.792682926829269,57.310001373291016
-138.1027980945077,90.40087805631883,43.02845528455284,12.560975609756097,57.45000076293945
-153.29388087680624,91.54010293968959,45.0,14.36991869918699,57.58000183105469
-168.87073423106148,86.63367594797892,46.93089430894308,16.19918699186992,57.959999084472656
-183.87379186536918,78.33695426060524,48.92276422764227,18.028455284552845,58.15999984741211
-197.52605044505972,66.23812564771843,50.853658536585364,19.91869918699187,58.380001068115234
-206.64181012593056,49.377994077896076,52.96747967479675,21.849593495934958,58.72999954223633
-213.0890637886687,30.28470418746398,54.8780487804878,23.760162601626014,58.900001525878906
